Round,J_value,ARI,NMI,Entropia_Condicional,Acuracia,ER,F_measure_Weighted,F_measure_Classe_3,F_measure_Classe_4,F_measure_Classe_5,F_measure_Classe_6,F_measure_Classe_7,F_measure_Classe_8,F_measure_Classe_9,Partition_Coefficient_PC,Modified_PC_MPC,Fuzzy_Jaccard,Fuzzy_Folkes_Mallows,Fuzzy_Rand_Frigui,Fuzzy_Rand_Hullermeier
1,2359.395634987425,0.036569695893790534,0.07683239872848978,1.6851019892476795,0.486116782360147,0.513883217639853,0.41420345472833625,0.0,0.0,0.5265871737028682,0.5739449541284404,0.0,0.0,0.0,0.9986562852992612,0.998432332849138,0.13606049685380858,0.25576194521171186,0.6346653181757371,0.6346646944483566
2,2352.6144891109634,0.034092691681023114,0.07256435722063427,1.6983030722451746,0.47570436913025727,0.5242956308697427,0.3994066654006454,0.0,0.0,0.46036363636363636,0.5848698948819576,0.0,0.0,0.0,0.9987917148506137,0.9985903339923826,0.14115155792233244,0.2610483255867834,0.6298654162131594,0.6298652958552304
3,2350.305291836119,0.03800387126468522,0.07524077529895716,1.6924528421826057,0.48162515312372395,0.5183748468762761,0.4086617343406577,0.0,0.0,0.5011788480970023,0.5784383954154728,0.0,0.0,0.0,0.998550271206908,0.9983086497413927,0.14358858651461492,0.26478584267968563,0.6310949943816337,0.6310945019701173
4,2360.865172557825,0.03437534633479877,0.07199956072179119,1.6946292593675143,0.4797876684360964,0.5202123315639036,0.4018503854538253,0.0,0.0,0.45919881305637983,0.5910875875021342,0.0,0.0,0.0,0.9985153453877208,0.9982679029523409,0.13024188580112042,0.24848791147886432,0.6365824478234455,0.6365819026141117
5,2295.8302773332694,0.03371486480230797,0.0744249253339077,1.6902702390825004,0.4740710494079216,0.5259289505920783,0.4040804053546233,0.0,0.0,0.5147058823529411,0.5592626728110599,0.0,0.0,0.0,0.998964392477559,0.9987917912238188,0.13327902876526757,0.2518372703157064,0.6344220072720781,0.6344216414415111
6,2374.9676465890834,0.03639982404866544,0.06319653112982539,1.7194363972419446,0.46325030624744795,0.536749693752552,0.3716831333602709,0.0,0.0,0.35092348284960423,0.5956362478101609,0.0,0.0,0.0,0.9988098546996552,0.9986114971495977,0.14331000771463506,0.26410386925542584,0.6301804523498218,0.6301801328432897
7,2359.7326052824683,0.03681582234489305,0.07608441906722388,1.6849935508600622,0.4795835034708044,0.5204164965291955,0.40429551676388453,0.0,0.0,0.4805755395683453,0.5823661874242162,0.0,0.0,0.0,0.9981091709716784,0.9977940328002914,0.13109733728401637,0.2501702177783804,0.6377928693276436,0.6377922330697713
8,2353.840128949179,0.0396919037986712,0.07074787279882068,1.7035519973294053,0.47754185381788483,0.5224581461821152,0.37553105136640963,0.0,0.0,0.332378223495702,0.6165041028022914,0.0,0.0,0.0,0.9983173572356531,0.9980369167749286,0.14886558516143758,0.27127449157222777,0.6289891830441877,0.6289887833133789
9,2363.186310669606,0.026083888252355896,0.0575645670488427,1.7321872683984523,0.458146182115149,0.541853817884851,0.388266157692318,0.0,0.0,0.4700710179235712,0.5536097212294496,0.0,0.0,0.0,0.9985528746345931,0.9983116870736919,0.1373774686854119,0.2547832934455023,0.6266037025273404,0.6266033203937
10,2358.2760807834297,0.03778087021287992,0.07347527614008252,1.6915335224599821,0.48570845242956306,0.5142915475704369,0.4117866567596454,0.0,0.0,0.5040983606557377,0.5834666666666667,0.0,0.0,0.0,0.9973228144001643,0.9968766168001917,0.13313742726901376,0.25271173992390394,0.6371366240930958,0.6371356019187513
11,2370.3789446754367,0.026261994086467292,0.054348759070397504,1.7414637204825787,0.4755002041649653,0.5244997958350347,0.3883446309644864,0.0,0.0,0.38895655704425497,0.6075533661740559,0.0,0.0,0.0,0.9986563781381942,0.9984324411612265,0.14700934445831104,0.2663738334290107,0.6206538775221423,0.6206534433040922
12,2380.0927451292077,0.036871548421174766,0.07538924899317591,1.6868496930967827,0.4820334830543079,0.5179665169456922,0.4033175273795028,0.0,0.0,0.4594089038533483,0.5942176870748299,0.0,0.0,0.0,0.9980681891068599,0.9977462206246699,0.13187863535746833,0.25105856797518067,0.6373342390638803,0.6373337373436843
13,2361.6186820734956,0.035104222619153955,0.07312514597287047,1.6920154968089658,0.4812168231931401,0.5187831768068599,0.40328806951294827,0.0,0.0,0.46244913059563447,0.5921367521367521,0.0,0.0,0.0,0.998062627504405,0.9977397320884724,0.1306112043814108,0.24911260751210565,0.6368590238445215,0.636858353190884
14,2359.7727478921406,0.03537913451879726,0.07402875337869091,1.6899945567349528,0.47386688444262964,0.5261331155573703,0.36199651427269,0.0,0.0,0.28061224489795916,0.6206582739268922,0.0,0.0,0.0,0.9983400988418609,0.9980634486488378,0.13099839836154928,0.24963640577530005,0.6368297895339324,0.6368291473775991
15,2359.7761073565016,0.035415616922331465,0.07400469991456876,1.6900546944936032,0.47386688444262964,0.5261331155573703,0.36182955325246946,0.0,0.0,0.27987742594484166,0.6207733131159969,0.0,0.0,0.0,0.9979204322752037,0.9975738376544043,0.13102801674349213,0.24968087019488475,0.6368383612354906,0.636837471456443
16,2371.696936308843,0.027805830852623725,0.059288438120141784,1.7242722176489924,0.45977950183748467,0.5402204981625154,0.3871420056030747,0.0,0.0,0.4517965136961935,0.5632183908045977,0.0,0.0,0.0,0.9977986244954326,0.9974317285780047,0.12759157764711787,0.243651415080949,0.6337271028505657,0.6337261740357454
17,2359.6686583098713,0.035559120181002886,0.07430290495763421,1.68926535677628,0.47386688444262964,0.5261331155573703,0.3616621139256504,0.0,0.0,0.2791411042944785,0.6208882825526755,0.0,0.0,0.0,0.9983977409892685,0.9981306978208132,0.13078330428026247,0.24942506693174227,0.6370401982987175,0.6370395602563236
18,2366.2093385281937,0.02711467924246731,0.0514305021393292,1.7456740513634998,0.4497754185381789,0.5502245814618212,0.3693593245854578,0.0,0.0,0.3764798737174428,0.5735171955474331,0.0,0.0,0.0,0.9987910885975688,0.9985896033638303,0.1366384152298239,0.254161828246278,0.6278566482434234,0.6278562072671722
19,2358.559071887475,0.037956328728230064,0.07367030949924418,1.6912679390899836,0.4846876276031033,0.5153123723968966,0.4108835717574068,0.0,0.0,0.5020463847203275,0.5828144458281445,0.0,0.0,0.0,0.9980953796025022,0.9977779428695859,0.13383970421795477,0.253588508834177,0.6369166292399173,0.636915767313817
20,2359.841477448358,0.03523951428194687,0.07450630127513934,1.6887688413888908,0.4755002041649653,0.5244997958350347,0.4000742834081032,0.0,0.0,0.4693507435618426,0.5804002760524499,0.0,0.0,0.0,0.9985756035423519,0.9983382041327439,0.13055084254448415,0.24908074504398384,0.6369850175626502,0.6369843777500945
21,2358.3369721613844,0.03669011837326706,0.07246878911442352,1.6937582096157642,0.48489179256839526,0.5151082074316047,0.4103391793274259,0.0,0.0,0.4960166262556287,0.5855983056830215,0.0,0.0,0.0,0.9979275421292955,0.997582132484178,0.13220327405404417,0.2513486357734303,0.6369481786644885,0.6369473662770453
22,2359.6686672272403,0.035559120181002886,0.0743029049576342,1.6892653567762803,0.47386688444262964,0.5261331155573703,0.3616621139256504,0.0,0.0,0.2791411042944785,0.6208882825526755,0.0,0.0,0.0,0.9984045050160908,0.9981385891854393,0.13078350190362065,0.24942545519804876,0.6370404780593011,0.6370398459371677
23,2358.5608941219316,0.0379548457646007,0.07364057324832964,1.6912987820573346,0.48489179256839526,0.5151082074316047,0.4110820334817166,0.0,0.0,0.5025571087623594,0.5829181494661921,0.0,0.0,0.0,0.9979314076330036,0.9975866422385042,0.1336747211703986,0.2533754565347401,0.6369506637810518,0.6369496927234902
24,2358.5485226570645,0.03792283369622364,0.07358546846720619,1.691424993495853,0.4850959575336872,0.5149040424663127,0.41117709045958317,0.0,0.0,0.5020491803278688,0.5834666666666667,0.0,0.0,0.0,0.9981486735279009,0.9978401191158844,0.13370527315592698,0.2534227030911013,0.6369637236901619,0.6369630309037126
25,2352.614489482824,0.034092691681023114,0.07256435722063428,1.6983030722451748,0.47570436913025727,0.5242956308697427,0.3994066654006454,0.0,0.0,0.46036363636363636,0.5848698948819576,0.0,0.0,0.0,0.998793240112655,0.9985921134647642,0.1411516027982133,0.26104845339938554,0.6298656166199793,0.6298654966955093
26,2361.9117319614343,0.0359879902990817,0.07647628484137167,1.6850149092342566,0.4838709677419355,0.5161290322580645,0.41256382584096557,0.0,0.0,0.526148969889065,0.570581696924787,0.0,0.0,0.0,0.9979724766495996,0.9976345560911996,0.13345864182853812,0.25261005281462406,0.635774253433997,0.6357733544203075
27,2380.4851961250674,0.03642267887417634,0.07413763513993467,1.689960562015187,0.4806043282972642,0.5193956717027358,0.40254164007140564,0.0,0.0,0.4602821083890126,0.5919098822324629,0.0,0.0,0.0,0.9982035510887494,0.9979041429368742,0.13225494077330663,0.2513693253885828,0.6368235229983856,0.6368226615717585
28,2358.5485213999787,0.03791753698935942,0.07357682364639423,1.6914468609709479,0.48489179256839526,0.5151082074316047,0.4110130733642459,0.0,0.0,0.501877773984295,0.5832147937411095,0.0,0.0,0.0,0.9981510455218353,0.9978428864421411,0.13370461615032933,0.2534217897867536,0.6369636980008868,0.6369630039941938
29,2375.0831213070683,0.037938153146159226,0.07672528709373382,1.6836627327230649,0.4873417721518987,0.5126582278481013,0.41178643132778103,0.0,0.0,0.4957567185289958,0.5889956331877729,0.0,0.0,0.0,0.998151650408599,0.9978435921433655,0.13213394097796666,0.25161375313199147,0.63782780338381,0.6378271247016609
30,2358.3973278228355,0.03802534839389569,0.07400734963612804,1.6903579181742387,0.4846876276031033,0.5153123723968966,0.4109904406385199,0.0,0.0,0.5032345931222336,0.5822649572649573,0.0,0.0,0.0,0.9980048095095541,0.9976722777611464,0.1334862527755553,0.25319281264817345,0.6371400849837641,0.6371390829722408
